[2026-04-02T21:34:22.618Z] Spawning ./Simulator/build/grblHAL_sim -p 23000
[2026-04-02T21:34:22.624Z] PID 82034
[2026-04-02T21:34:32.946Z] sim→ws 71B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|WCO:0.000,0.000,0.000>\r
[2026-04-02T21:34:32.946Z] sim→ws 1B: \n
[2026-04-02T21:34:33.000Z] ws→sim 1B: ?
[2026-04-02T21:34:33.046Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:33.046Z] sim→ws 1B: \n
[2026-04-02T21:34:33.100Z] ws→sim 1B: ?
[2026-04-02T21:34:33.146Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:33.146Z] sim→ws 1B: \n
[2026-04-02T21:34:33.201Z] ws→sim 1B: ?
[2026-04-02T21:34:33.246Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:33.246Z] sim→ws 1B: \n
[2026-04-02T21:34:33.301Z] ws→sim 1B: ?
[2026-04-02T21:34:33.346Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:33.346Z] sim→ws 1B: \n
[2026-04-02T21:34:33.400Z] ws→sim 1B: ?
[2026-04-02T21:34:33.446Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:33.446Z] sim→ws 1B: \n
[2026-04-02T21:34:33.509Z] ws→sim 1B: ?
[2026-04-02T21:34:33.546Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:33.546Z] sim→ws 1B: \n
[2026-04-02T21:34:33.601Z] ws→sim 1B: ?
[2026-04-02T21:34:33.646Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:33.646Z] sim→ws 1B: \n
[2026-04-02T21:34:33.701Z] ws→sim 1B: ?
[2026-04-02T21:34:33.746Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:33.746Z] sim→ws 1B: \n
[2026-04-02T21:34:33.801Z] ws→sim 1B: ?
[2026-04-02T21:34:33.841Z] sim→ws 64B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|Ov:100,100,100>\r
[2026-04-02T21:34:33.842Z] sim→ws 1B: \n
[2026-04-02T21:34:33.900Z] ws→sim 1B: ?
[2026-04-02T21:34:33.946Z] sim→ws 71B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|WCO:0.000,0.000,0.000>\r
[2026-04-02T21:34:33.947Z] sim→ws 1B: \n
[2026-04-02T21:34:34.000Z] ws→sim 1B: ?
[2026-04-02T21:34:34.046Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:34.046Z] sim→ws 1B: \n
[2026-04-02T21:34:34.101Z] ws→sim 1B: ?
[2026-04-02T21:34:34.146Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:34.146Z] sim→ws 1B: \n
[2026-04-02T21:34:34.200Z] ws→sim 1B: ?
[2026-04-02T21:34:34.246Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:34.246Z] sim→ws 1B: \n
[2026-04-02T21:34:34.300Z] ws→sim 1B: ?
[2026-04-02T21:34:34.346Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:34.346Z] sim→ws 1B: \n
[2026-04-02T21:34:34.400Z] ws→sim 1B: ?
[2026-04-02T21:34:34.446Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:34.446Z] sim→ws 1B: \n
[2026-04-02T21:34:34.501Z] ws→sim 1B: ?
[2026-04-02T21:34:34.546Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:34.546Z] sim→ws 1B: \n
[2026-04-02T21:34:34.601Z] ws→sim 1B: ?
[2026-04-02T21:34:34.646Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:34.646Z] sim→ws 1B: \n
[2026-04-02T21:34:34.701Z] ws→sim 1B: ?
[2026-04-02T21:34:34.746Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:34.746Z] sim→ws 1B: \n
[2026-04-02T21:34:34.800Z] ws→sim 1B: ?
[2026-04-02T21:34:34.846Z] sim→ws 64B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|Ov:100,100,100>\r
[2026-04-02T21:34:34.846Z] sim→ws 1B: \n
[2026-04-02T21:34:34.901Z] ws→sim 1B: ?
